ChannelName,post_body_text,published_at,LikesCount,SharesCount,CommentsCount,ViewsCount,is_safety_related,compound_score,sentiment
News 8 WROC,"Uber and Lyft are currently training staff on how to maintain the autonomous vehicles ahead of their public launch in the coming months.
https://t.co/1srNHBvLrX",2025-01-07T04:24:03.000Z,0.0,0.0,2.0,1099.0,True,0.0,neutral
KUSI News,Uber and Lyft to offer driverless rideshare cars https://t.co/VMzkgToAlI,2025-01-07T04:23:49.000Z,0.0,2.0,1.0,883.0,True,0.0,neutral
FOX8 WGHP,Uber and Lyft to offer driverless rideshare cars https://t.co/YQM5A05ClN,2025-01-07T04:13:55.000Z,2.0,0.0,1.0,753.0,True,0.0,neutral
KRQE News 13,Two popular rideshare companies are now preparing to offer a new feature: driverless taxis,2025-01-07T04:00:26.000Z,12.0,3.0,5.0,0.0,True,0.4215,positive
News 19,Uber and Lyft to offer driverless rideshare cars https://t.co/HcR5qzu9Ks,2025-01-07T03:44:53.000Z,1.0,0.0,0.0,935.0,True,0.0,neutral
WHNT News 19,"Customers in Atlanta and Austin, Texas, will be able to hail one of these driverless rideshare cars via the Uber app.",2025-01-07T03:32:34.000Z,15.0,3.0,13.0,0.0,True,0.0772,positive
KTAB News,Uber and Lyft to offer driverless rideshare cars ,2025-01-07T03:30:24.000Z,3.0,0.0,2.0,0.0,True,0.0,neutral
CBS 42,Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.,2025-01-07T03:30:05.000Z,2.0,0.0,1.0,0.0,True,0.4215,positive
KSNT 27 News,Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.,2025-01-07T03:07:10.000Z,11.0,0.0,0.0,0.0,True,0.4215,positive
FOX16 News,Uber and Lyft are currently training staff on how to maintain the autonomous vehicles ahead of their public launch in the coming months.,2025-01-07T03:06:09.000Z,4.0,0.0,0.0,0.0,True,0.0,neutral
CW39,Uber and Lyft to offer driverless rideshare cars,2025-01-07T02:57:19.000Z,2.0,0.0,0.0,0.0,True,0.0,neutral
